Name,Address,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year *,Net Price **,Largest Program,IPEDS ID,OPE ID
A Better U Beauty Barber Academy,"5400 Phoenix Ave NE Suite 105, Albuquerque, New Mexico 87110",https://abuacademy.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,38,38,NA,NA,2019-20,"$18,493",Barbering/Barber,493868,04283300
ABC Beauty Academy,"2109 Buckingham Rd., Richardson, Texas 75081",www.abcbeautyacademy.webs.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,64,64,87%,NA,2019-20,"$8,134","Cosmetology/Cosmetologist, General",459523,04168800
ABCO Technology,"11222 S. La Cienega Blvd Ste 588, Inglewood, California 90304-1551",www.abcotechnology.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,Suburb: Large,No,117,117,71%,NA,Fall 2019,NA,Computer Installation and Repair Technology/Technician,485500,04242600
Abcott Institute,"16250 Northland Drive, Suite 205, Southfield, Michigan 48075-5227",www.abcott.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,71,71,18%,NA,2019-20,"$40,908",Licensed Practical/Vocational Nurse Training,461892,04183300
Abraham Lincoln University,"100 West Broadway, Suite 600, Glendale, California 91210",https://www.alu.edu/,"4-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,No,177,48,0%,NA,Fall 2016,NA,-,488031,04243800
Academia Medical Institute,"3445 South Boulevard, Columbus, Ohio 43204-0000",https://www.amiohio.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,139,139,91%,NA,2019-20,"$23,283",-,497374,04303000
Academia Serrant Inc,"7033 Mendez Vigo, Ponce, Puerto Rico 00717-1250",www.serrant.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,190,190,89%,NA,2019-20,"$9,030",Baking and Pastry Arts/Baker/Pastry Chef,421896,03122500
Academy College,"1600 W. 82nd Street, Suite 100, Bloomington, Minnesota 55431-1411",www.academycollege.edu/,"4-year, Private for-profit",Associate's degree;Bachelor's degree,City: Small,No,105,105,100%,NA,Fall 2016,"$28,968",-,172866,02050300
Academy Di Capelli -,"1010 Main St, East Hartford, Connecticut 06108-3839",,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,,,NA,NA,2019-20,NA,"Cosmetology/Cosmetologist, General",44946301,04104301
Academy Di Capelli-School of Cosmetology,"950 Yale Ave Unit 20, Wallingford, Connecticut 06492",www.academydicapelli.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,181,181,94%,NA,2019-20,"$14,958","Cosmetology/Cosmetologist, General",449463,04104300
Academy di Firenze,"149 West Main Street, Jerome, Idaho 83338-2329",www.academydifirenze.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Town: Remote,No,12,12,88%,NA,2019-20,"$10,547","Cosmetology/Cosmetologist, General",476957,04207200
Academy for Salon Professionals,"19520 Nordhoff St. Unit 9, Northridge, California 91324",www.academyla.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,113,113,70%,NA,2019-20,"$12,632",Aesthetician/Esthetician and Skin Care Specialist,462062,04189800
Academy of Allied Health Careers,"5600 Brainerd Road c-3, Chattanooga, Tennessee 37411-5336",https://www.aahctn.edu/,"< 2-year, Private for-profit",Less than one year certificate,City: Midsize,No,114,114,NA,NA,2019-20,"$9,841",Medical/Clinical Assistant,497198,04294200
Academy of Art University,"79 New Montgomery, San Francisco, California 94105",www.academyart.edu/,"4-year, Private for-profit",Less than one year certificate;Associate's degree;Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree,City: Large,Yes,6786,4555,44%,17%,Fall 2016,"$35,616",-,108232,00753100
Academy of Beauty Professionals,"525 Westhill Boulevard, Appleton, Wisconsin 54914-5780",https://www.academyofbeautyprofessionals.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Midsize,No,71,71,30%,NA,2019-20,NA,Nail Technician/Specialist and Manicurist,489131,03110902
Academy of Beauty Professionals,"2575 N Mason Street, Green Bay, Wisconsin 54303-4838",https://www.academyofbeautyprofessionals.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,92,92,37%,NA,2019-20,NA,Nail Technician/Specialist and Manicurist,489140,03110903
