,school,golf_course,distance_mi,duration_min
0,Aveda Institute - Maryland,Bulle Rock,15.5,28.0
1,Dawn Career Institute LLC - Newark,Bulle Rock,30.9,38.0
2,All-State Career School - Corporate Office,Bulle Rock,34.6,39.0
3,Empire Beauty Schools - Glen Burnie-Baltimore,Bulle Rock,41.1,47.0
4,Empire Beauty Schools - Owings Mills-Baltimore,Bulle Rock,44.0,51.0
5,North American Trade Schools - Baltimore,Bulle Rock,48.0,53.0
6,Lancaster County Career and Technology Center - Street,Bulle Rock,41.7,59.0
7,Pennsylvania Institute of Technology - Media,Bulle Rock,57.9,64.0
8,Empire Beauty Schools - Springfield-Delaware County,Bulle Rock,59.0,64.0
9,Williamson College of the Trades - Media,Bulle Rock,54.7,65.0
10,Empire Beauty Schools - Lancaster,Bulle Rock,47.1,71.0
11,Automotive Training Center - Corporate Office,Bulle Rock,56.5,78.0
12,Empire Beauty Schools - York,Bulle Rock,52.5,79.0
13,Polytech Adult Education - Woodside,Bulle Rock,81.0,83.0
14,The Salon Professional Academy - Washington DC,Bulle Rock,71.2,84.0
15,Standard Healthcare Services - College of Nursing,Bulle Rock,83.7,88.0
16,National Beauty College - Corporate Office,Bulle Rock,75.6,90.0
17,Career Technical Institute - Washington,Bulle Rock,72.4,91.0
18,Empire Beauty Schools - Hanover,Bulle Rock,77.0,93.0
19,Aveda Arts - Arlington,Bulle Rock,88.8,94.0
20,Empire Beauty Schools - Reading,Bulle Rock,72.3,97.0
21,Berks Technical Institute,Bulle Rock,70.8,99.0
22,Empire Beauty Schools - Harrisburg,Bulle Rock,82.1,105.0
23,Empire Beauty Schools - Lebanon,Bulle Rock,66.9,107.0
24,American School of Nursing and Allied Health,Bulle Rock,101.0,113.0
25,Martinsburg College - Martinsburg,Bulle Rock,127.0,122.0
26,Empire Education Group - Pottsville,Bulle Rock,105.0,144.0
27,Empire Beauty Schools - Shamokin Dam-Sunbury,Bulle Rock,135.0,161.0
28,IGlobal University - Vienna,Bulle Rock,,
29,Toni & Guy Hairdressing Academy - Cranston,Lake Of Isles (North),41.7,48.0
30,Empire Beauty School - Warwick,Lake Of Isles (North),48.8,54.0
31,Motoring Technical Training Institute - Corporate Office,Lake Of Isles (North),54.0,60.0
32,Toni & Guy Hairdressing Academy - Worcester,Lake Of Isles (North),62.9,69.0
33,Rob Roy Academy - Corporate Office,Lake Of Isles (North),63.1,71.0
34,Empire Beauty Schools - Framingham,Lake Of Isles (North),82.3,87.0
35,Toni & Guy Hairdressing Academy - Braintree,Lake Of Isles (North),89.0,95.0
36,National Aviation Academy - Corporate Office,Lake Of Isles (North),95.6,97.0
37,Benjamin Franklin Institute of Technology - Boston,Lake Of Isles (North),99.3,99.0
38,Empire Beauty Schools - Boston,Lake Of Isles (North),99.7,104.0
39,MGH Institute of Health Professions - Boston,Lake Of Isles (North),103.0,106.0
40,Empire Beauty Schools - Malden-Boston,Lake Of Isles (North),108.0,113.0
41,West Coast University - Corporate Office,Pelican Hill Golf Club (Ocean South),6.5,11.0
42,Pacific College - Mesa,Pelican Hill Golf Club (Ocean South),9.6,14.0
43,Paul Mitchell the School - Oklahoma City,Pelican Hill Golf Club (Ocean South),9.7,14.0
44,Toni & Guy Hairdressing Academy - Costa Mesa,Pelican Hill Golf Club (Ocean South),10.7,17.0
45,Platt College - Corporate Office,Pelican Hill Golf Club (Ocean South),20.5,23.0
46,South Coast College - Orange,Pelican Hill Golf Club (Ocean South),19.8,24.0
47,American Career College - Corporate Office,Pelican Hill Golf Club (Ocean South),26.0,28.0
48,Southern California Institute of Technology - Anaheim,Pelican Hill Golf Club (Ocean South),25.5,29.0
49,Western State College of Law at Argosy University,Pelican Hill Golf Club (Ocean South),25.7,31.0
50,American University of Health Sciences - Hill,Pelican Hill Golf Club (Ocean South),29.7,33.0
51,Downey Adult School - Downey,Pelican Hill Golf Club (Ocean South),34.0,36.0
52,Baldwin Park Adult & Community Education - Baldwin Park,Pelican Hill Golf Club (Ocean South),49.4,54.0
53,Empire Beauty Schools - West Greensboro,Pelican Hill Golf Club (Ocean South),56.4,60.0
54,Toni & Guy Hairdressing Academy - Los Angeles,Pelican Hill Golf Club (Ocean South),57.0,60.0
55,"West Coast Ultrasound Institute, School of Imaging - Corporate",Pelican Hill Golf Club (Ocean South),52.4,61.0
56,Angeles College,Pelican Hill Golf Club (Ocean South),52.3,61.0
57,CBD College - Australia,Pelican Hill Golf Club (Ocean South),52.9,62.0
58,CBD College - Los Angeles,Pelican Hill Golf Club (Ocean South),52.9,62.0
