,golf_course,school,golf_course_geo,school_geo,school_address,crow_distance,distance,duration
0,Pebble Beach Golf Links,Academy of Art University - San Francisco,"(36.5696553, -121.9497555)","(37.7879584, -122.4004678)","79 New Montgomery San Francisco, CA",87.7569828858689,124 mi,2 hours 5 mins
1,Pebble Beach Golf Links,Cinta Aveda,"(36.5696553, -121.9497555)","(37.7909576, -122.4042735)",305 Kearny Street,88.01495380090951,124 mi,2 hours 11 mins
2,Pebble Beach Golf Links,Contra Costa Medical Career College - Antioch,"(36.5696553, -121.9497555)","(37.97679979999999, -121.8015862)","4041 Lone Tree Way Antioch, CA",97.56509131486884,143 mi,2 hours 22 mins
3,Pebble Beach Golf Links,Five Branches University - Santa Cruz,"(36.5696553, -121.9497555)","(36.9644346, -121.9980494)","200 7th Avenue Santa Cruz, CA",27.407312042050435,45.8 mi,55 mins
4,Pebble Beach Golf Links,National Holistic Institute - Emeryville,"(36.5696553, -121.9497555)","(37.8418091, -122.2878972)","5900 Doyle Street Emeryville, CA",89.84536438439598,120 mi,2 hours 4 mins
5,Pebble Beach Golf Links,National Tractor Trailer School Inc - Corporate Office,"(36.5696553, -121.9497555)","(36.503236, -121.451229)",175 Katherine St,28.053598519842094,38.5 mi,53 mins
6,Pebble Beach Golf Links,North Adrian's College of Beauty Inc - Modesto,"(36.5696553, -121.9497555)","(37.6777958, -120.9927841)","124 Floyd Ave Modesto, CA",92.95902067929542,130 mi,2 hours 31 mins
7,Pebble Beach Golf Links,The Salon Professional Academy - Rochester,"(36.5696553, -121.9497555)","(37.2920045, -121.9894762)","1600 Saratoga Ave, Ste 103",49.9577676633792,72.5 mi,1 hour 24 mins
8,Pebble Beach Golf Links,The Salon Professional Academy - San Jose,"(36.5696553, -121.9497555)","(37.2920045, -121.9894762)","1600 Saratoga Ave Ste. 103 San Jose, CA 95129",49.9577676633792,72.5 mi,1 hour 24 mins
9,Pebble Beach Golf Links,Toni & Guy Hairdressing Academy - Manteca,"(36.5696553, -121.9497555)","(37.7887803, -121.2173386)","1019 S Main St - Manteca, CA 95337",93.38513707794431,144 mi,2 hours 22 mins
10,Pebble Beach Golf Links,Toni & Guy Hairdressing Academy - San Jose,"(36.5696553, -121.9497555)","(37.3256289, -121.8139115)","2200 Eastridge Loop - San Jose, CA 95122",52.76864477832809,72.9 mi,1 hour 18 mins
11,Pebble Beach Golf Links,Toni & Guy Hairdressing Academy - Modesto,"(36.5696553, -121.9497555)","(37.6772377, -120.9954738)","2425 McHenry Ave - Modesto, CA 95350",92.84339769124009,130 mi,2 hours 31 mins
12,Pinehurst Resort (No 2),Cabarrus College of Health Sciences - Concord,"(35.190375, -79.46779529999999)","(35.439955, -80.60091150000001)","401 Medical Park Drive Concord, NC",66.17016785604189,77.9 mi,1 hour 42 mins
13,Pinehurst Resort (No 2),Carolinas College of Health Sciences - Charlotte,"(35.190375, -79.46779529999999)","(35.1818248, -80.9275565)","2110 Water Ridge Parkway Charlotte, NC",82.43262828387407,111 mi,2 hours 1 min
14,Pinehurst Resort (No 2),NASCAR Technical Institute - Mooresville,"(35.190375, -79.46779529999999)","(35.605507, -80.8549036)","220 Byers Creek Road Mooresville, NC",83.2218923047909,116 mi,2 hours 6 mins
15,Pinehurst Resort (No 2),Aveda Arts - Charlotte,"(35.190375, -79.46779529999999)","(35.2144465, -80.8552483)","1520 South Blvd. , Suite 150 - Charlotte, North Carolina",78.34936883323117,102 mi,1 hour 56 mins
16,Pinehurst Resort (No 2),Empire Beauty School - West Greensboro,"(35.190375, -79.46779529999999)","(36.0511399, -79.90429)","1312 Bridford Parkway Suite 105 Greensboro, NC",64.32774603645356,76.6 mi,1 hour 18 mins
17,Pinehurst Resort (No 2),Empire Beauty Schools - Charlotte,"(35.190375, -79.46779529999999)","(35.1579711, -80.9218817)","4901-B N Tryon St Charlotte, NC",82.15263074089869,108 mi,1 hour 55 mins
18,Pinehurst Resort (No 2),Empire Beauty Schools - Charlotte-Concord,"(35.190375, -79.46779529999999)","(35.3629375, -80.7108274)","Shoppes at Kings Grant 10075 Weddington Rd Concord, NC",71.12047254488101,85.9 mi,1 hour 53 mins
19,Pinehurst Resort (No 2),Empire Beauty Schools - Charlotte-Pineville,"(35.190375, -79.46779529999999)","(35.0895008, -80.865205)","8700 Pineville-Matthews Rd Charlotte, NC",79.26148280381642,102 mi,1 hour 50 mins
20,Pinehurst Resort (No 2),Empire Beauty Schools - Winston-Salem,"(35.190375, -79.46779529999999)","(36.1525813, -80.2831989)","7740 N Point Blvd Winston-Salem, NC",80.71231574599226,96.4 mi,1 hour 39 mins
21,Pinehurst Resort (No 2),ESI - Durham,"(35.190375, -79.46779529999999)","(35.9934789, -78.8983562)","ESI Durham – 300 E. Main Street Durham, NC 27701",64.05184333281994,76.9 mi,1 hour 20 mins
22,Bethpage Black Course,American College of Healthcare and Technology - Corporate Office,"(40.7428649, -73.4550769)","(40.7723657, -73.517001)",11801 Pierce Street,3.82860142234844,7.7 mi,13 mins
23,Bethpage Black Course,CDE Career Institute - Tannersville,"(40.7428649, -73.4550769)","(41.0337392, -75.3033623)","2942 Route 611 Tannersville, PA",98.61045042568608,119 mi,2 hours 11 mins
24,Bethpage Black Course,New York Automotive and Diesel Institute - Jamaica,"(40.7428649, -73.4550769)","(40.7052714, -73.7806322)","178-18 Liberty Avenue Jamaica, NY",17.243847084103194,25.9 mi,36 mins
25,Bethpage Black Course,New York School for Medical and Dental Assistants - Long Island City,"(40.7428649, -73.4550769)","(40.744302, -73.93118199999999)","33-10 Queens Blvd Long Island City, NY",24.923225390742555,31.3 mi,45 mins
26,Bethpage Black Course,PITC Institute - Wyncote,"(40.7428649, -73.4550769)","(40.09753540000001, -75.14512069999999)","827 Glenside Ave Wyncote, PA",99.45143548326595,133 mi,2 hours 21 mins
27,Bethpage Black Course,St Paul's School of Nursing - Corporate Office,"(40.7428649, -73.4550769)","(40.7292451, -73.8582167)",97-77 Queens Blvd,21.12682298352884,27.2 mi,39 mins
28,Bethpage Black Course,The Beauty Institute - Corporate Office,"(40.7428649, -73.4550769)","(40.2772079, -74.0484639)",6 Industrial Way West,44.79717006450105,87.3 mi,1 hour 42 mins
29,Bethpage Black Course,Innovate Salon Academy - Corporate Office,"(40.7428649, -73.4550769)","(40.2661348, -74.8023666)",25 Scotch Road,78.06838002347591,107 mi,2 hours 1 min
30,Bethpage Black Course,Post University,"(40.7428649, -73.4550769)","(41.53542400000001, -73.08152299999999)","800 Country Club Rd, Connecticut",58.107998867527044,107 mi,1 hour 53 mins
31,Bethpage Black Course,Access Careers - Corporate Office,"(40.7428649, -73.4550769)","(40.9008106, -73.8272709)","474 Fulton Avenue, New York",22.311595276318364,34.5 mi,45 mins
