School,Score
Tricoci - Chicago NE (Rogers Park),1.0
Lancaster County Career and Technology Center - Street,0.25
Aveda Institute - San Antonio,1.0
Genesis Career College - Corporate Office,0.25
Eastwick College - Corporate Office,1.0
Mid-Del Technology Center,0.25
Rio Grande Valley College,1.0
Institute of Medical Careers - Pittsburgh,0.8
Triangle Tech Inc - Corporate Office,0.25
Empire Beauty Schools - Pittsburg North-Hills,0.25
Elevate Salon Institute - River Oak,0.25
ESI - Utica,0.25
Saint Mary-of-the-Woods College,0.25
South Texas Vocational Technical Institute - Corporate Office,0.25
"Aveda Institute Portland - Vancouver, WA Campus",1.0
Ohio Technical College - Cleveland,0.25
Aveda Institute - Maryland,1.0
Toni & Guy Hairdressing Academy - Worcester,1.0
Eastern International College - Corporate Office,1.0
Empire Beauty Schools - Philadelphia-Northeast,0.25
Manatee Technical College - Bradenton,0.25
Jean Madeline Aveda Institute - University City,1.0
Empire Beauty Schools - Winston-Salem,0.25
The Salon Professional Academy - Shorewood,0.25
Pioneer Technology Center - Ponca City,0.25
The Salon Professional Academy - Maplewood,0.25
Empire Beauty Schools - Bangor,0.25
Laurus College - San Luis Obispo,0.25
Aveda Arts - Covington,1.0
Aveda Institute - Twin Falls,1.0
Empire Beauty Schools - Atlanta-Kennesaw,0.25
International Institute For Health Care Professionals,1.0
Automotive Training Center - Corporate Office,0.25
New Horizons of Phoenix,0.25
Tricoci - Highland,1.0
Atlanta Technical College - Atlanta,0.25
Elaine Sterling Institute - Atlanta,1.0
Empire Beauty Schools - Peekskill-Westchester County,0.25
Riverside College of Health Careers - News,0.25
Empire Beauty Schools - York,0.25
Jean Madeline Aveda Institute - Neshaminy Mall,1.0
Cabarrus College of Health Sciences - Concord,0.25
Aveda Arts - Atlanta,1.0
Empire Beauty Schools - Portage-Kalamazoo,0.25
Toni & Guy Hairdressing Academy - Los Angeles,0.25
American Medical Academy - Miami,0.75
Tidewater Tech - Trades,0.25
Midwest Institute - Fenton,1.0
Career Care Institute - Lancaster,1.0
Southeastern Technical College - Vidalia,1.0
System u002d A Paul Mitchell Partner School,0.25
Harris Institute,0.25
Fred K Marchman Technical College - Richey,0.25
Baldwin Park Adult & Community Education - Baldwin Park,0.25
Cambridge College of Healthcare & Technology - Delray Beach,0.25
EHOVE Career Center - Milan,0.25
Aveda Institute Toronto,1.0
Dorsey School of Business - Corporate Office,0.25
The Salon Professional Academy - Kenosha,0.25
Empire Beauty Schools - Union-Newark,0.25
Empire Beauty Schools - Hanover,0.25
Saint Anthony College of Nursing - Rockford,0.25
The Salon Professional Academy - Howell,0.25
Contra Costa Medical Career College - Antioch,1.0
The Salon Professional Academy - Colorado Springs,1.0
The Salon Professional Academy - San Antonio,0.25
Toni & Guy Hairdressing Academy - Atlanta,1.0
Paul Mitchell the School - Ardmore,0.25
Erie Institute of Technology Inc - Erie,0.25
The Salon Professional Academy - Whitehouse,0.25
Auguste Escoffier School of Culinary Arts - Corporate Office,0.25
New Castle School of Trades - Castle,0.25
Empire Beauty Schools - Allentown-Whitehall,0.25
Empire Beauty Schools - Chandler-Gilbert,0.25
Downey Adult School - Downey,0.25
Aveda Arts - Birmingham,1.0
Joyce University - Corporate Office,0.25
Herzing University - Corporate Office,0.8
Empire Beauty Schools - Reading,0.25
Healthcare Career College - Paramount,0.8
California College San Diego - Corporate Office,0.25
ESI - Miami Beach,0.25
AMG School of Licensed Practical Nursing - Brooklyn,0.8
Berks Technical Institute,0.8
Swedish Institute a College of Health Sciences - New York,1.0
Aveda Institute - South Florida,0.8
Empire Beauty School - Spring Lake Park,0.25
Empire College - Santa Rosa,1.0
Delta College,1.0
Empire Beauty School - Somersworth,0.25
Marion Technical College - Corporate Office,0.25
Apollo Career Center - Lima,0.25
Empire Beauty Schools - Portland,0.25
Empire Beauty Schools - Providence,0.25
Western Technology Center - Flat,0.25
Eastern Suffolk BOCES - Corporate Office,1.0
Long Island Business Institute - Flushing,0.25
Orleans Technical College - Philadelphia,0.25
