Record ID,Company name,Status,Record Type,New ICP,Reason not ICP 1,Segment,School Type (picklist),Total Students,Number of child companies,LMS (multi-select),SIS (multi-select),Street Address,State/Region
4104332334,Advanced College - Corporate Office,Target Account,Corporate Office,ICP 1,ICP 1,Allied Health,Private for-profit,486,2,Canvas,RGM,13180 Paramount Boulevard,California
4108671175,Alaska Career College - Anchorage,Target Account,Lone Campus,ICP 1,ICP 1,Allied Health,Private for-profit,412,,Canvas,CVUE,"1415 E Tudor Road Anchorage, AK",Alaska
4108718586,American Career College - Corporate Office,Target Account,Corporate Office,ICP 1,ICP 1,Allied Health,Private for-profit,"6,349",3,Canvas; Blackboard,CVUE,1200 N. Magnolia Ave.,California
4104294015,American College of Education - Indianapolis,Target Account,Lone Campus,ICP 1,ICP 1,Allied Health,Private for-profit,"8,112",,Canvas,Anthology,"101 West Ohio Street Suite 1200 Indianapolis, IN",Indiana
6920844630,American College of Healthcare and Technology - Corporate Office,Target Account,Corporate Office,ICP 1,ICP 1,Allied Health,Private for-profit,621,3,Moodle,CVUE,11801 Pierce Street,California
4108675536,American Higher Education Development,Target Account,,ICP 1,ICP 1,Career + Trade,Private for-profit,"1,300",1,Moodle,CampusNexus,116 Village Boulevard,New Jersey
4108711563,Arizona College & Arizona College of Nursing - Corporate Office,Target Account,Corporate Office,ICP 1,ICP 1,Allied Health,Private for-profit,"5,119",9,Canvas,CampusNexus,600 Corporate Drive Suite 200,Arizona
4108748771,Auguste Escoffier School of Culinary Arts - Corporate Office,Target Account,Corporate Office,ICP 1,ICP 1,Career + Trade,Private for-profit,"4,266",2,Moodle,CampusNexus,6020-B Dillard Circle,Texas
4108718708,Automotive Training Center - Corporate Office,Target Account,Corporate Office,ICP 1,ICP 1,Career + Trade,Private for-profit,738,2,D2L,CVUE,114 Pickering Way,Pennsylvania
6920856189,Avalon School of Cosmetology - Corporate Office,Target Account,Corporate Office,ICP 1,ICP 1,Beauty + Wellness,Private for-profit,"1,160",5,Milady; Moodle,CampusNexus; Anthology,3200 North Hayden Road,Arizona
